Fonte,Job_Description,Role
Randstad Technical ,"Randstad Technical di Vimercate seleziona un manutentore per inserimento in somministrazione presso azienda del settore gomma plastica. La risorsa si occuperà della manutenzione ordinaria e straordinaria di presse a iniezione idrauliche  ed elettriche, di attrezzature elettromeccaniche e degli impianti del plant produttivo. Requisiti: diploma o qualifica in ambito meccanico o elettromeccanico; esperienza nella mansione di almeno 3 anni; disponibilità al lavoro sia a giornata che su tre turni; flessibilità, precisione, capacità organizzative, proattività",Manutentore elettromeccanico
Monster,"Ricerchiamo N. 5 ricerca ADDETTI/E VENDITA per punto vendita di abbigliamento fashion ad Arezzo. Si richiede esperienza minima nella vendita, preferibilmente nel settore abbigliamento, flessibilità oraria e disponibilità soprattutto nel fine settimana.",Commessa
Monster,"Quanta SpA, Filiale di Verona, seleziona per azienda cliente del settore metalmeccanico un manutentore elettromeccanico. La risorsa avrà la responsabilità della manutenzione degli impianti produttivi per la lavorazione dei metalli. Si richiede pregressa esperienza nel ruolo e disponibilità a lavorare a turni. L'inquadramento sarà commisurato all'esperienza del candidato. Il luogo di lavoro è Trevenzuolo",Manutentore elettromeccanico
Monster,"Kelly Services, multinazionale americana leader nelle Risorse Umane, da oltre 60 anni è una delle società più apprezzate a livello mondiale per l'elevata qualità dei servizi offerti e per la professionalità del personale selezionato. Kelly offre a tutti i candidati, dai giovani in cerca della prima occupazione a quadri e dirigenti, stimolanti opportunità di lavoro a tempo determinato ed indeterminato, oltre a servizi di orientamento e formazione. Per maggiori informazioni consulta il sito www.kellyservices.it
La Filiale di Piacenza di Kelly Services Spa ricerca per azienda cliente operante nel metalmeccanico con sede in provincia di Piacenza:
TECNICO ELETTROMECCANICO
Il/la candidato/a ideale maturato almeno 5 anni di esperienza in attività di service e manutenzione elettromeccanica. Il ruolo prevedrà attività di manutenzione elettromeccanica ordinaria e straordinaria, ricerca guasti, interventi su sensori, telecamere e carrelli di scorrimento.
Gli interventi saranno effettuati prevalentemente nel Nord Italia (Piacenza, Parma, Lodi, Reggio Emilia e Modena), ma si tratterà di trasferte giornaliere. Si richiede la disponibilità alla reperibilità a rotazione al sabato. Requisiti: Diploma ad indirizzo elettrico/elettromeccanico; 
esperienza di almeno 5 anni in analoga mansione;  buona conoscenza di schemi elettrici; buone doti comunicative e buono standing; 
flessibilità; automunito/a.",Tecnico elettromeccanico
Monster,"ADHR Filiale di Torino ricerca per azienda cliente settore Informatico:
DATA SCIENTIST
Il candidato ideale è un neolaureato in discipline scientifiche con orientamento a progettazione di basi dati e advanced analytics.
È richiesta una conoscenza base dei principali concetti di statistica, calcolo delle probabilità, basi di dati relazionali e la capacità di programmare con i principali linguaggi. Sono considerate un plus conoscenze base di programmazione in, Python, Apache Spark e la conoscenza di Hadoop e Database NoSQL.
Si richiede inoltre un'attitudine allo sviluppo delle relazioni interpersonali, al lavoro di gruppo e alla gestione di obiettivi e risultati oltre a una buona padronanza della lingua inglese.
Il candidato sarà inserito in un percorso formativo interno (Data Science Bootcamp) finalizzato all'acquisizione delle conoscenze e delle competenze necessarie per entrare a far parte del nostro team che si occupa di Big Data e Machine Learning presso alcune delle principali aziende italiane nei settori Finance, PA e Retail.
L'azienda offre un contratto di assunzione a tempo indeterminato con sede di lavoro a Torino. È richiesta la disponibilità a trasferte di lavoro in Italia.",Data Scientist 
Monster,"Stiamo cercando un Data Scientist esperto e appassionato che si unisca al team.Se sei preciso, hai una buona capacità di analisi e attenzione ai dettagli, sei la persona che fa per noi. 
Ti occuperai di analisi ed integrazione dati.
Siamo una realtà ICT che offre servizi esclusivi di consulenza, sviluppo e implementazione di sistemi informativi. Ulixe Technologies è specializzata nell’analisi funzionale, nello sviluppo basato su tecnologie Open Source e in servizi di Business Intelligence e gestione database.
La nostra azienda è in continua crescita e ad oggi contiamo oltre 300 dipendenti, presenti in due sedi operative a Torino e Milano.
Ulixe Technologies fa parte di Ulixe Group: scopri di più sul sito  www.ulixe.com.
PERCHÉ ULIXE?
Con noi puoi lavorare su tecnologie innovative in diverse Industry, tra cui Banking, Insurance, Automotive e Retail.
Poniamo grande attenzione alla guida del tuo percorso professionale, in modo da dare una direzione strategica alla tua carriera. Abbiamo un team HR dedicato alla crescita e al supporto dei nostri dipendenti.
Ci impegniamo perché sia possibile lavorare in modo sereno, per dare il massimo sui progetti, avendo l’opportunità di esprimere il proprio talento ed esplorare la propria creatività applicata alle nuove tecnologie.
Siamo un gruppo di persone entusiaste, competenti, curiose e ambiziose.
Sei pronto ad entrare nel nostro team?
COSA CERCHIAMO
Esperienza pregressa in analisi Big Data
Competenze in raccolta dati, data quality, data mining, interpretazione delle relazioni statistiche
Conoscenza delle principali librerie di Machine Learning
Forte propensione al lavoro di gruppo
 ALCUNI REQUISITI PREFERENZIALI
Laurea e/o Diploma in Economia, Ingegneria, Informatica e/o discipline affini
Buona conoscenza della lingua inglese",Data Scientist 
Monster,"Infor Elea ricerca per azienda cliente una figura professionale per il ruolo di pizzaiolo.
La persona ideale deve soddisfare i seguenti requisiti: buona preparazione degli ingredienti di base; buona manualità dell’impasto; ottima gestione dei metodi di cottura (forno a legna); 
capacità di condimento fuori forno della pizza.
Requisiti richiesti: Qualifica professionale; Esperienza pregressa maturata nel ruolo;                                Autonomia e precisione nello svolgimento del lavoro.
Capacità e competenze: dinamicità, buona resistenza allo stress, ottime doti comunicative per facilitare le comande con i camerieri, attitudine al lavoro di gruppo, raggiungimento dell’obiettivo in tempi ridotti, attitudine al lavoro in team.                           
Tipo di contratto: commisurato in base all’esperienza maturata di lavoro.
Sede di lavoro: Orbassano
Settore di provenienza: Ristorazione",Pizzaiolo
Monster,"Bluserena ricerca per propri Resort in Abruzzo, Puglia, Calabria, Sicilia e Sardegna:
1^ e 2^ Chef
Cuoco Capo Partita
Demi Chef de Partie
Pasticcere
Pizzaiolo
Macellaio
Commis di Cucina",Pizzaiolo Pasticcere Macellaio
Infojob,"Esclusiva boutique multibrand sita sull'isola di Panarea (Isole Eolie - Messina) cerca commessa / commesso con esperienza di almeno un anno nell'ambito dell'abbigliamento e accessori.
Conoscenza obbligatoria della lingua inglese e preferenziale lingua spagnola.
Offresi contratto stagionale da 4 a 6 mesi.
Si offrono vitto e alloggio GRATUITI
Inviare cv con foto.",Commessa
Infojob,"Per un nostro Cliente di Castel Guelfo di Bologna (BO) siamo alla ricerca di un/una COMMESSO/A ABBIGLIAMENTO PART-TIME per una SOSTITUZIONE DI MATERNITA'.
La risorsa ideale si sarà già occupata di vendita diretta al cliente nel medesimo settore, sarà disponibile da subito e domiciliata in zona.
Il monte ore settimanale sarà di 30 ore, distribuite secondo esigenze aziendali.",Commessa
Infojob,"Lavoropiù Everywhere, la divisione di Lavoropiù specializzata nella ricerca e selezione di profili internazionali, sta ricercando, per il sito produttivo di multinazionale italiana del settore alimentare fresco con sede negli Stati Uniti, un/a Manutentore Elettromeccanico con esperienza nella manutenzione di impianti automatici per il settore alimentare.
Manutentore Elettromeccanico
La risorsa, a diretto riporto del Direttore di Stabilimento, si occuperà principalmente delle seguenti mansioni: Responsabilità della manutenzione ordinaria e straordinaria degli impianti; Gestione ed analisi dei guasti; Gestione delle schede di manutenzione per ogni singola attrezzatura o impianto; Organizzazione e gestione degli stock di ricambio.
Requisiti:  Diploma di Perito meccanico o elettronico o titolo equipollente; Esperienza di almeno 3 anni come manutentore elettromeccanico, provenienza da aziende strutturate del settore alimentare fresco oppure da realtà del settore packaging;",Manutentore elettromeccanico
Infojob,"Gi Group SpA, agenzia per il lavoro ricerca per azienda cliente specializzata nella fornitura di hardware e soluzioni per la digitalizzazione delle imprese:
NEOLAUREATI in ECONOMIA / STATISTICA / MATEMATICA
per STAGE come MARKETING DATA SCIENTIST
La persona supportera' il team di Business Innovation nelle attivita' di data mining e machine learning con applicazioni in ambito forecasting e di analisi dati a supporto delle attivita' dei business aziendali.
Avra' l'obiettivo di elaborare i Big Data per supportare la costruzione delle infografiche dinamiche necessarie per evidenziare e scoprire le tendenze, le opportunita' e le criticita' nascoste che possano avere un impatto sul business.
Principali attivita'
Occuparsi della raccolta di grandi quantitativi di dati da fonti diverse
Organizzare e strutturare i dati in formati idonei per l'analisi e l'interpretazione
Elaborare i dati tramite strumenti statistici e tecnologici
Occuparsi dell'interpretazione dei dati, estrapolando trend e informazioni rilevanti
Dare una rappresentazione grafica ai dati per semplificare la comprensione delle informazioni
Creare report per presentare ai manager le evidenze raccolte",Data Scientist 
Infojob,"DESCRIZIONE AZIENDA
SYNERGIE ITALIA SPA, FILIALE DI TORINO, DIVISIONE SPECIALIZZATA HOSPITALITY & BEVERAGE, RICERCA PER IMPORTANTI CLIENTI OPERANTI NEL SETTORE RISTORATIVO
POSIZIONE
PIZZAIOLO/A E AIUTO PIAZZAZIOLO/A
REQUISITI
I CANDIDATI IDEALI PRESENTANO I SEGUENTI REQUISITI: 
Esperienza pregressa nella mansione
Disponibilità a lavroare in full time
 Disponibilità a lavorare durante in extra, in settimana, nei i weekend e festivi ",Pizzaiolo
Infojob,"Lavoropiù Spa Filiale di Vezzano sul Crostolo- Ricerca:
AIUTO PIZZAIOLO/A
CASTELNOVO MONTI
Per cliente operante nel settore della ristorazione, siamo alla ricerca di una risorsa da inserire come aiuto pizzaiolo/a.
La risorsa si occuperà di aiutare nella preparazione degli impasti, la preparazione pizze e la preparazione degli ingredienti.
Si richiede disponibilità a lavorare la sera, durante i weekend, i festivi e preferibilmente esperienza anche breve nella mansione.
Contratto a tempo determinato finalizzato a stabilità
Zona di lavoro: Castelnovo Monti",Pizzaiolo